_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
Country,"اختر بلدك هنا","Öz ölkənizi seçin","আপনার দেশ নির্বাচন করুন","Klicken Sie hie um Ihr Land","Select your country here","selecciona tu país aquí","کشور خود را انتخاب کنید.","Valitse maa tästä","Sélectionnez votre pays ici","अपना देश चुनें","Pilih negara Anda di sini","Seleziona il tuo paese qui","Pilih negara anda di sini","Selecteer hier je land",,,"Seleccione aqui o seu país","Выбрать вашу страну",,,เลือกประเทศของคุณที่นี่,"Buradan ülkenizi seçin","اپنے ملک کا انتخاب یہاں سے کریں","Chọn quốc gia của bạn ở đây",
Course_All_Chapters,"جميع الفصول","Bütün fəsillər","সব অধ্যায়","Alle Kapitel","All Chapters","Todos los capítulos","تمام بخش‌ها","Kaikki luvut","Tous les chapitres","सभी चैप्टर","Semua Bab","Tutti i Capitoli","Semua bab","Alle hoofdstukken",,,"Todos os Capítulos","Все главы","siyalu parichcheedayan",,บทเรียนทั้งหมด,"Tüm Bölümler","تمام باب","Tất cả các Chương",
Course_Coming_Soon,"هذه المادة ستجهز قريبا","Bu kurs tezliklə açıq olacaq.","এই কোর্স শীঘ্রই আসছে.","Dieser Kurs wird bald kommen.","This course is coming soon.","Este curso estará disponible en breve.","این درس به زودی ارائه خواهد شد","Tämä kurssi on tulossa pian.","Cette course est pour bientôt.","यह कोर्स जल्द ही आ रहा है।","Kursus ini akan segera hadir.","Questo corso sarà presto disponibile.","Kursus ini akan datang tidak lama lagi.","Deze cursus is binnenkort beschikbaar.",,,"Este curso estará disponível em breve.","Этот курс ожидается!","mema paatamaalaawa ikmanin paminee.",,"หลักสูตรนี้จะมีให้เร็ว ๆ นี้","Bu kurs çok yakında.","یہ کورس جلد آرہا ہے۔","Khóa học này sắp được phát hành.",
Course_Info,"معلومات المادة","Kurs haqqında","কোর্সের তথ্য",Kursinformationen,"Course Info","Información del Curso","اطلاعات درس",-,"Information sur le cours","कोर्स की जानकारी","Info Kursus","Informazioni sul corso","Maklumat kursus",Cursusinformatie,,,"Informação do Curso","Информация о курсе","paatamaalaa thorathuru",,ข้อมูลหลักสูตร,"Kurs Bilgisi","کورس کے متعلق معلومات","Thông tin Khóa học",
Course_Intro_Start,"ابدأ المادة","Kursa başla","কোর্স শুরু করো","Kurs beginnen","Start Course","Inicio del curso","شروع یک درس",-,"Commencez le cours","कोर्स शुरू करें","Mulai Kursus","Inizio Corso","Mulakan Kursus","Beginnen met de cursus",,,"Iniciar o Curso","Начать курс","paatamaalaawa arabanna",,เริ่มหลักสูตร,"Kursa Başla","کورس کو شروع کریں","Bắt đầu Khóa học",
Course_Intro_Title,مقدّمة,Giriş,সূচনা,Einführung,Introduction,introducción,معرفی,Johdanto,Présentation,परिचय,Introduksi,Introduzione,Pengenalan,Introductie,,,Introdução,Введение,hadinweema,,คำนำ,Tanıtım,تعارف,"Giới thiệu",
Course_Next_Chapter,"الفصل التالي","Növbəti fəsil","পরবর্তী অধ্যায়","Nächstes Kapitel","Next Chapter","Siguiente capítulo","بخش بعدی",-,"Chapitre suivant","अगला चैप्टर","Bab Berikutnya","Capitolo Successivo","Bab seterusnya","Volgende hoofdstuk",,,"Próximo Capítulo","Следующая глава","meelaga parichcheedaya",,บทต่อไป,"Sonraki Bölüm","اگلا باب","Chương sau",
Course_Previous_Chapter,"الفصل السابق","Əvvəlki fəsil","আগের অধ্যায়","Vorheriges Kapitel","Previous Chapter","Capítulo anterior","بخش قبلی",-,"Chapitre précédent","पिछला चैप्टर","Bab Sebelumnya","Capitolo precedente","Bab sebelumnya","Vorige hoofdstuk",,,"Capítulo Anterior","Предыдущая Глава","kalin thiboo parichcheedaya",,บทเรียนก่อนหน้านี้,"Önceki Bölüm","پچھلا باب","Chương trước",
Course_Review_This_Chapter," راجع هذا <br /> الفصل ","[ Bu fəsilə <br/> Bax "," এটি পর্যালোচনা করো <br/> অধ্যায় "," Bewerten Sie dieses <br/> Kapitel "," Review this <br /> Chapter "," Revisa este <br/> Capítulo "," ین بخش را <br/> بازخوانی کنید ",-," Examiner ce <br/> chapitre "," इस चैप्टर की <br/> समीक्षा करें "," Periksa Bab <br /> ini "," Commenta questo <br/> Capitolo "," Kaji ini <br/> bab "," Lees dit hoofdstuk <br/> nog een keer ",,," Rever este <br/> Capítulo "," Просмотреть эту <br/> Главу ]"," meya wimarshanaya karanna <br/> parichcheedaya ",," ทบทวน <br /> บทนี้ "," Bunu gözden geçir <br /> Chapter ","ا س کا جائزہ لیں <br/> باب "," Xem lại <br /> Chương này ",
Course_Take_The_Test,"خذ الإختبار","Testdən keç","পরীক্ষাটি নাও","Machen Sie den Test","Take the test","Haz la prueba","تست بدهید","Tee testi","Faites le test","टेस्ट लें","Ikuti tes","Fai il test","Ambil ujian","Doe de test",,,"Fazer a prova","Пройти тест","pareekshanaya ganeema",,ทำแบบทดสอบ,"Testi al","ٹیسٹ لیں","Làm bài kiểm tra",
Course_Take_The_Test_Again," خذ الإختبار <br/> مرّة أخرى "," Testdən keç <br/> Yenidən "," পরীক্ষাটি নাও <br/> আবার "," Machen Sie den Test <br/> Nochmal "," Take the test <br /> Again "," Hacer el test <br/> Una vez más "," بهترین را دوباره <br/> مشاهده کنید ",-," Faites le test <br/> Encore une fois "," टेस्ट <br/> पुनः लें "," Ikuti Tes <br /> Lagi "," Fai il test <br/> di nuovo "," Ambil ujian <br/> Sekali lagi "," Doe de test <br/> nog een keer ",,," Faça o teste <br/> de novo "," Выберите тест <br/> Еще раз "," pareekshanaya ganeema <br/> nawatha ",," ทำแบบทดสอบ <br /> อีกครั้ง "," Testi al <br /> Again "," ٹیسٹ لیں <br/> دوبارہ "," Làm bài kiểm tra <br /> Một lần nữa ",
Courses,المواد,Kurslar,কোর্সসমূহ,Kurse,Courses,Cursos,درسها,Kurssit,Courses,पाठ्यक्रम,Kursus,Corsi,kursus,Cursussen,,,Cursos,Курсы,paatamaalaawan,,หลักสูตร,Kurslar,کورسز,"Khóa học",
Cross_Banner_AppStore,"الأن في محل التطبيقات",,"এখন অ্যাপ স্টোরে","Jetzt im App Store.","Now on the App Store","Ahora en el app Store","حالا در App Store","Nyt App Storesta","Maintenant sur l'App Store","अब एप्प स्टोर में उपलब्ध","Sekarang di App Store","Ora su App Store","Kini terdapat di App Store","Nu in de App Store",,,"Agora na App Store","теперь на App Store","Dan App Store thulada atha",,"มีให้บน App Store แล้วตอนนี้","Şimdi App Store'da","اب اپلی کیشن سٹور پر","Hiện đã có trên App Store",
Cross_Banner_Button,"أحصل على التطبيق الأن مجانا!",,"অ্যাপ্লিকেশনটি এখন বিনামূল্যে পান !","Erhalten Sie die App kostenlos!","Get the app now for free!","Obtén la aplicación gratuitamente!","برنامه موبایل را همین حالا رایگان دریافت کنید!","Hanki sovellus nyt ilmaiseksi!","Télécharger gratuitement l'application!","नयी एप्प मुफ्त डाउनलोड करें!","Dapatkan aplikasi sekarang secara gratis!","Ottieni subito l'app gratis!","Dapatkan aplikasi ini secara percuma!","Krijg de app nu voor niets!",,,"Obtém a App agora grátis!","получить приложение прямо сейчас совершенно бесплатно!","Yeduma dan nomilema labaganna!",,โหลดแอปตอนนี้ฟรี!,"Uygulamayı hemen şimdi ücretsiz indir.","مفت ایپ حاصل کریں","Tải miễn phí ứng dụng ngay!",
Cross_Banner_Free,"تطبيق اضافي مجاني!",,"বিনামূল্যের সৌজন্য অ্যাপ্লিকেশন !","KOSTENLOSE Zusatz-App!","FREE complementary app!","Aplicación complemetaria gratuita!","برنامه موبایل رایگان!","ILMAINEN sovellus!","Gratuit: l'application complémentaire!","फ्री कोम्प्लेमेंट्री एप्प!","Aplikasi pelengkap GRATIS!","App complementare GRATIS!","PERCUMA aplikasi!","GRATIS complementaire app!",,,"GRÁTIS App complementar!","бесплатное дополнительное приложение!","Anupuraka yeduma nomilaye!",,แอปสมนาคุณฟรี,"ÜCRETSİZ hediye uygulama!","مفت اعزازی اپلی کیشن","Ứng dụng bổ sung MIỄN PHÍ!",
Cross_Banner_Head_LineA,"أحصل على ولوج غير محدود",,"যেকোনো জায়গা থেকে সীমাহীন প্রবেশাধিকার পেতে ।","Erhalten Sie überall unlimitierten Zugriff.","Get unlimited access anywhere.","Obtén acceso directo estés donde estés.","دسترسی نامحدود در هر جا که باشید","Hanki rajoittamaton käyttöoikeus missä tahansa.","Obtenez un accès illimité","कहीं भी अनलिमिटेड एक्सेस का आनंद उठाएं","Dapatkan akses tidak terbatas di mana saja.","Ottieni un accesso illimitato ovunque.","Dapatkan akses tanpa had di mana jua.","Krijg onbeperkt toegang, waar je ook bent.",,,"Tem acesso ilimitado em qualquer lado.","получить неограниченный доступ в любом месте","Onama thanakata asimitha praveshayak labaganna.",,รับสิทธิ์การเข้าถึงไม่จำกัดได้ทุกที่,"Her yerden sınırsız erişim kazan.","کہیں بھی لا محدود رسائی حاصل کریں","Truy cập không giới hạn từ mọi nơi.",
Cross_Banner_Head_LineB,"قم بتنزيل التطبيق الاضافي مجانا",,"বিনামূল্যে সৌজন্য অ্যাপ্লিকেশন ডাউনলোড করুন ।","Laden Sie die Zusatz-App kostenlos herunter.","Download the complimentary app for free.","Descarga la aplicación complementaria de manera gratuita","برنامه موبایل را رایگان دانلود کنید.","Lataa sovellus ilmaiseksi.","Télécharger gratuitement l'application complémentaire","मुफ्त कॉम्प्लीमेंट्री एप्प डाउनलोड करें","Unduh aplikasi pelengkap secara gratis.","Scarica gratis l'app gratuita.","Muat turun aplikasi secara percuma.","Download de complementaire app voor niets.",,,"Faz o Download da App complementar grátis.","загрузить дополнительное приложение бесплатно","Anupuraka yeduma nomilema baaganna.",,ดาวน์โหลดแอปสมนาคุณนี้ได้ฟรี,"Hediye uygulamayı ücretsiz indir.","مفت اعزازی اپلی کیشن ڈاؤن لوڈ کریں","Tải xuống ứng dụng bổ sung miễn phí.",
Cross_Banner_SkipLink,"أو اذهب الى الموقع المخصص للجوال",,"অথবা মোবাইল সাইটে যান ।","Oder besuchen Sie die mobile Seite.","Or go to the mobile site.","O dirígete al sitio móvil","و یا به سایت موبایل ما سر بزنید.","Tai siirry mobiilisivustolle.","Ou Accéder à la version mobile du site","या मोबाइल साईट पर जाएं","Atau masuk ke situs seluler.","Oppure vai al sito mobile.","atau lawati laman telefon bimbit.","Of ga naar de mobiele site.",,,"Ou visita o site mobile.","или зайти на мобильную версию сайта","Ho jangama adaviyata yanna.",,"หรือ ไปยังเว็บไซต์ของมือถือ","Ya da mobil siteye gidin.","یا موبائل سائٹ پر جائیں","Hoặc đến trang web di động.",
DidYouKnow_Default_Title,"هل تعلم؟",Bilirsinizmi?,"তুমি কি জানো?","Wussten Sie schon?","Did you know?","¿Lo sabías?","آیا میدانستید؟",Tiesitkö?,"Saviez-vous que?","क्या आप जानते थे?","Tahukah Anda?","Lo sapevi?","Adakah anda tahu?","Wist je dat?",,,"Você sabia?","Знаете ли вы?","oba dannawaada?",,คุณรู้หรือไม่?,"Biliyor muydunuz?","کیا آپ جانتے ہیں؟","Bạn có biết?",
Do_Not_Show_Again,"لا تعرض هذه مرة أخرى","Bir də göstərmə","এটা পুনরায় আর দেখাবেন বা","Nicht noch einmal anzeigen","Do not show this again","No repetir el mensaje","این را دیگر نشان نده","Älä näytä tätä uudelleen","Ne plus afficher ce message","इसे दोबारा न दिखाएँ","Jangan tampilkan ini lagi","Non mostrarlo più","Jangan tunjukkan ini lagi","Laat dit niet meer zien",,,"Não mostrar isto novamente","Не показывать больше","meya nawatha nopenwanna",,ห้ามแสดงข้อความนี้อีก,"Bunu bir daha gösterme","یہ دوبارہ نہ دکھایں","Không hiển thị lại thông báo này",
Download_Benefits,"أحصل على هذه المادة على جواّلك","Bu kursu öz mobil telefonunuza yükləyin","এই কোর্সটি আপনার মুঠোফোনে নামান","Diesen Kurs auf Ihr Handy herunterladen","Download this course to your Mobile","descárgate este curso en tu móvil","این درس را در گوشی موبایل خود ذخیره کنید","Lataa tämä kurssi matkapuhelimeesi","Téléchargez ce cours sur votre portable","अपने मोबाइल पे ये कोर्स डाउनलोड करें","Unduh kursus ini ke perangkat seluler Anda","Scarica questo corso per il tuo cellulare","Muat Turun kursus ini ke telefon bimbit anda","Download deze cursus naar je mobiele telefoon",,,"Faça o download deste curso para o seu telemóvel","Скачать этот курс на свой телефон",,,ดาวน์โหลดหลักสูตรนี้ลงในมือถือของคุณ,"Bu kursu Cep Telefonunuza indirin","اس کورس کو اپنے موبائل پر ڈاؤن لوڈ کریں","Tải khóa học này xuống Điện thoại Di động của bạn",
Download_Course,"قم بتحميل المادة","Kursu yüklə","কোর্সগুলো নামান","Den Kurs downloaden","Download the course","Descarga el curso","این درس را دانلود کنید","Lataa kurssi","télécharger le cours","कोर्स डाउनलोड करें","Unduh kursus","Scarica il corso","Muat kursus","De cursus downloaden",,,"Transfira o curso","Скачать курс",,,ดาวน์โหลดหลักสูตร,"Kursu indir","کورس ڈاؤن لوڈ کریں","Tải xuống khóa học",
Downloading_Chapters,"عملية تنزيل الأقسام...","Fəsilləri yükləmək","অধ্যায়গুলি নামছে...","Download der Kapitel...","Downloading chapters...","Descargando capítulos ...","در حال دانلود بخش‌ها...","Ladataan lukuja...","Téléchargement des chapitres ...","चैप्टर डाउनलोड हो रहा है...","Mengunduh bab…","Download dei capitoli ...","Memuat turun bab ...","Hoofdstukken worden gedownload…",,,"A transferir capítulos...","Загрузка глав...","baagatha karana parichcheda...",,กำลังดาวน์โหลดบทเรียน...,"Bölümler indiriliyor…","سبق ڈاؤن لوڈ ہو رہے ہیں","Đang tải xuống chương...",
Downloading_Images,"عملية تنزيل الصور...","Şəkilləri yükləmək","ছবিগুলি নামছে...","Download der Bilder...","Downloading images...","Descargando imágenes ...","در حال دانلود تصاویر...","Ladataan kuvia...","Téléchargement des images ...","इमेज डाउनलोड हो रही हैं...","Mengunduh gambar…","Download delle immagini ...","Memuat turun imej ...","Afbeeldingen worden gedownload …",,,"A transferir imagens...","Загрузка изображений ...","baagatha karana pinthoora...",,กำลังดาวน์โหลดรูป...,"Resimler indiriliyor…","تصاویر ڈاؤن لوڈ ہو رہی ہیں","Đang tải xuống hình ảnh...",
Downloading_Videos,"عملية تنزيل مقاطع الفيديو...","Videoları yükləmək","চলচিত্রগুলি নামছে...","Download der Videos...","Downloading videos...","Descargando vídeos ...","در حال دانلود ویدئوها...","Ladataan videoita...","Téléchargement des vidéos ...","वीडियो डाउनलोड हो रही हैं...","Mengunduh video…","Download dei video ...","Memuat turun video ...","Video's worden gedownload …",,,"A transferir vídeos...","Загрузка видео ...","baagatha karana videos…",,กำลังดาวน์โหลดวิดีโอ...,"Videolar indiriliyor…","ویڈیوز ڈاؤن لوڈ ہو رہی ہیں","Đang tải xuống video...",
Email,"البريد الإلكتروني",Email,ইমেইল,E-Mail,Email,Email,ایمیل,Sähköposti,Email,ईमेल,Surel,E-mail,E-mel,E-mail,,,Email,"электронная почта","widyuth lipinaya",,อีเมล,E-posta,ای۔میل,Email,
EmptyLibrary,"المكتبة فارغة","Kitabxana boşdur","লাইব্রেরী খালি","Sammlung ist leer.","Library is Empty.","La biblioteca está vacía.","کتابخانه خالی است","Kirjasto on tyhjä.","Bibliothèque est vide.","लाइब्रेरी खाली है।","Perpustakaan Kosong.","La libreria è vuota.","Perpustakaan adalah kosong.","Bibliotheek is leeg.",,,"A Biblioteca está Vazia.","Библиотека пуста","gonuwa hisya.",,คลังข้อมูลว่างเปล่า,"Kütüphane Boş","لائبریری خالی ہے","Thư viện đang Trống.",
End_Of_Chapter,,,,,"End of chapter {{chapterIndex}}:",,,"Luvun päätös {{chapterIndex}}:",,,"Bagian akhir bab {{chapterIndex}}:",,,,,,,,,,"จบบท {{chapterIndex}}:","Bölüm sonu {{bölümİndeksi}}:",,"Kết thúc chương {{chapterIndex}}:",
End_Of_Introduction,,,,,"End of introduction",,,"Johdannon päätös",,,"Bagian akhir introduksi",,,,,,,,,,จบคำนำ,"Tanıtımın sonu",,"Kết thúc giới thiệu.",
Enter_Pin,"الرجاء ادخال الرقم السري الذي استلمته للتأكيد","Xahiş edirik, qəbul etdiyiniz PİN-i təsdiqləmək üçün daxil edəsiniz","দয়া করে গোপন সংকেতটি প্রবেশ করুন যেটা আপনি পেয়েছেন।","Bitte geben Sie die Pinnummer ein, die Sie erhalten haben, um zu bestätigen","Please enter the PIN you received to confirm","Por favor introduce el PIN que recibiste para confirmar","برای تائید لطفاً کُدی که دریافت کرده‌اید را وارد کنید","Syötä saamasi PIN-koodi vahvistaaksesi","Veuillez saisir le code PIN que vous avez reçu pour confirmer","पुष्टि करने के लिए अपना पिन डालें","Harap masukkan PIN yang Anda terima untuk mengonfirmasikan","Si prega di inserire il PIN che hai ricevuto per confermare","Sila masukkan PIN yang anda terima untuk pengesahan","Vul aub de ontvangen pincode in om te bevestigen",,,"Por favor introduza o pin que recebeu para confirmar","Для подтверждения, пожалуйста, введите полученный PIN-код",,,โปรดใส่รหัสพินที่คุณได้รับเพื่อยืนยัน,"Lütfen onay için aldığınız PIN'i girin","براہ کرم وصول شدہ پن، یہاں تصدیق کے لئے درج کریں","Hãy nhập mã PIN mà bạn vừa nhận để xác nhận",
Enter_Valid_Number,,,,,"Please enter a valid mobile number",,,"Syötä voimassa oleva matkapuhelinnumero",,,"Harap masukkan nomor ponsel valid",,,,,,,,,,โปรดใส่เบอร์มือถือที่ถูกต้อง,"Lütfen geçerli bir cep telefonu numarası girin",,"Hãy nhập một số điện thoại di động hợp lệ",
Example_Default_Title,مثال,Nümunə,উদাহরন,Beispiel,Example,ejemplo,مثال,Esimerkki,Exemple,उदाहरण,Contoh,Esempio,contoh,Voorbeeld,,,Exemplo,Пример,udaaharanaya,,ตัวอย่าง,Örnek,مثال,"Ví dụ",
FAQ,"أسئلة و أجوبة",FAQ,"প্রায়শই জিজ্ঞাসিত প্রশ্ন-উত্তর","Häufige Fragen",FAQ,"Preguntas más frecuentes","سوألات متداول",-,FAQ,"अक्सर पूछे जाने वाले प्रश्न",FAQ,"Domande frequenti (FAQ)","Soalan Lazim","Veelgestelde vragen",,,"Perguntas Frequentes","Часто задаваемые вопросы",FAQ,,คำถามที่ถามบ่อย,SSS,"عمومی سوالات",FAQ,
FName,"الإسم الأول",Ad,"নামের প্রথমাংশ",Vorname,"First Name",Nombre,نام,Etunimi,Prénom,"प्रथम नाम","Nama Depan",Nome,"Nama Pertama",Voornaam,,,"Primeiro Nome",Имя,"mul nama",,ชื่อ,İsim,"پہلا نام",Tên,
Featured_Courses,المميز,Seçilmişlər,বৈশিষ্ট্যযুক্ত,Featured,Featured,Destacado,ویژه,Suositellut,Sélectionnée,विशिष्ट,Sorotan,"In primo piano",Pilihan,"Onze aanraders",,,Destacado,Рекомендуемые,"widahaa dakwoo",,คุณสมบัติเด่น,Ayrıcalıklı,خصوصیات,"Nổi bật",
Female,أنثى,Qadın,নারী,Weiblich,Female,Mujer,زن,Nainen,Femme,स्त्री,Perempuan,Femmina,Perempuan,Vrouw,,,Mulher,женский,gahanu,,ผู้หญิง,Kadın,عورت,Nữ,
Fetch_From_Server,"ابحث في الخادم","Serverdən əldə edin","সার্ভার থেকে আনুন","Von Sever abholen","Fetch From Server","Buscar en el servidor","دریافت از سرور","Hae palvelimelta","recherche du serveur","सर्वर से लायें","Ambil dari Server","Recupera dal Server","Ambil Dari Server","Ophalen van de server",,,"Procure a partir do servidor","Получить с Сервера",,,ดึงมาจากเซิร์ฟเวอร์,"Sunucudan Al","سرور سے حاصل کریں","Lấy từ Máy chủ",
Get_All_Chapters_For,"فقط المادة كاملة","Yalnız ""Tam kurs"" tələbələri üçün","শুধুমাত্র সম্পূর্ণ কোর্স","Nur kompletter Kurs","Full course only","Curso completo sólo","تنها درس‌های کامل","Vain koko kurssi","Cours complet seulement","केवल पूरा कोर्स","Hanya kursus lengkap","Solo corso completo","Hanya kursus penuh","Alleen de gehele cursus",,,"Curso completo por apenas","Полный курс","sampoorna paatamaalaawa pamani",,เฉพาะหลักสูตรฉบับเต็มเท่านั้น,"Yalnızca tam kurs","صرف مکمّل سبق","Chỉ khóa học đầy đủ",
Get_Content,"أحصل على المحتويات","Məzmunu əldə edin","বিষয়গুলি নিন","Inhalte erhalten","Get Content","Recibir el contenido","دریافت محتویات","Hae sisältö","obtenir le contenu","कंटेंट प्राप्त करें","Dapatkan Konten","Ottieni il contenuto","Dapatkan Kandungan","Laden content",,,"Obter Conteúdo","Получить Контент",,,รับเนื้อหา,"İçeriği Al","مواد حاصل کریں","Tải Nội dung",
Go_Back,العودة,Geriyə,পেছনে,Zurück,Back,espaldaatrás,بازگشت,-,retour,वापस,Kembali,Indietro,Kembali,Terug,,,Voltar,Назад,,,กลับ,"Geri Dön",واپسی,"Quay lại",
Good_To_Go,"انت جيد لتبدأ","Davam edin","আপনার যাওয়া ভালো !","Legen Sie los!","You're good to go!","Estás listo para seguir!","برای شروع آماده اید","Olet valmis aloittamaan!","vous êtes prêt à avancer","आप जाने के लिए पूरी तरह से तैयार हैं!","Anda boleh melanjutkan!","Tu sei a posto!","Anda bersedia untuk pergi!","Je bent klaar om te beginnen!",,,"Você está pronto para começar!","Готовы приступить!",,,คุณพร้อมแล้ว!,"Başlamak için iyisiniz!","آپ جانےکے لئے تیار ہیں!","Bạn đã sẵn sàng rồi!",
Hello,مرحبا,Salam,হ্যালো!,Hallo,Hello,Hola,سلام,Hei,Bonjour,नमस्ते,Halo,Ciao,Hello,Hallo,,Cześć!,Ola,Привет,Hayi,jambo,สวัสดี,Merhaba,"خوش آمدید","Xin chào",
Home,"الصفحة الرئيسية","Ana səhifə","হোম পেজে",Homepage,Home,Inicio,خانه,-,Accueil,होम,Beranda,"Pagina iniziale","Laman Utama",Startpagina,,,"Página Inicial","Домашняя страница",Niwahana,nyumbani,หน้าหลัก,"Ana sayfa",ghar,"Trang chủ",
Homepage_Nickname_Caption,"إنشاء اسم مستعار","İstifadəçi adı yarat","তোমার ডাকনাম তৈরি করো","Erstellen Sie Ihren Nickname","Create your Nickname","Crea tu apodo","نام مستعار خود را ایجاد کنید","Luo lempinimesi","Créez votre Pseudo","अपना उपनाम बनाएँ","Buat Nama Panggilan Anda","Crea il tuo Nickname","Mereka Nama Samaran anda","Geef jezelf een bijnaam",,,"Criar o seu Apelido","Создать имя пользователя","obagee anuwartha nama nirmaanaya karanna",,สร้างชื่อเล่นของคุณ,"Takma İsminizi Oluşturun","اپنی عُرفیت بنائیں","Tạo Biệt danh của Bạn",
Introduction,المقدّمة,Giriş,ভূমিকা,Einführung,Introduction,introducción,معرفی,Johdanto,Présentation,परिचय,Introduksi,Introduzione,Pengenalan,Introductie,,,Introdução,Введение,upades,,คำนำ,Giriş,تعارف,"Giới thiệu",
Invalid_Pin_Error,"الرقم السري غير صحيح","Pin düzgün deyil","ভুল গোপন সংকেত","Ungültige Pinnummer","Invalid Pin","Pin inválido","کُد نامعتبر","Virheellinen PIN-koodi","pin invalide","गलत पिन","Pin Invalid","Pin non valido","Pin tidak sah","Ongeldige pincode",,,"Pin inválido","Неверный Pin- код",,,รหัสพินไม่ถูกต้อง,"Geçersiz Pin","غلط پن","PIN không hợp lệ",
Join_Us_Today,"انضم لنا اليوم","Elə indi qoşulun bizə","আজই আমাদের সাথে যোগ দিন","MELDEN SIE SICH HEUTE AN","JOIN US TODAY","ÚNETE A NOSOTROS HOY","امروز به ما محلق شوید","LIITY JOUKKOOMME TÄNÄÄN","REJOIGNEZ-NOUS AUJOURD'HUI","हमें आज ही जॉइन करें","BERGABUNG DENGAN KAMI HARI INI","UNISCITI A NOI OGGI","SERTAI HARI INI","WORD VANDAAG LID",,,"JUNTE-SE A NÓS HOJE","ЗАРЕГИСТРИРУЙТЕСЬ СЕГОДНЯ","ada ekwanna",,เข้าร่วมกับเราวันนี้,"BİZE BUGÜN KATILIN","آج ہی ہمارا حصّہ بنئے","HÃY THAM GIA CÙNG CHÚNG TÔI NGAY HÔM NAY",
Just_Hang_On,انتظر...,"Bir azca gözlə...","একটু অপেক্ষা করুন","Bitte warten...","Just hang on...","Sólo espera ...","کمی صبر کنید...","Odota hetki...","Patientez ...","थोड़ी देर इंतजार करें...","Tunggu sebentar…","Basta aspettare ...","Tunggu sebentar...","Even geduld …",,,Espere...,Подождите...,"elba sitinna...",,เพียงแค่รอ...,Bekleyin…,"انتظار فرمایے","Chờ chút...",
LName,"اسم العائلة",Soyad,"শেষ নাম",Nachname,"Last Name",apellido,"نام خانوادگی",Sukunimi,"Nom de famille","अंतिम नाम","Nama Belakang",Cognome,"Nama Akhir",Achternaam,,,Sobrenome,Фамилия,"awasaana nama",,นามสกุล,"Soy isim","آخری نام",Họ,
Language,اللغة,"Dil tənzimləmələri",ভাষা,Sprache,Language,idioma,زبان,Kieli,langue,भाषा,Bahasa,Lingua,bahasa,Taal,,,Língua,Язык,baashaawa,,ภาษา,"Dil ",زبان,"Ngôn ngữ",
LanguageSettings,"إعدادات اللغة","Dil tənzimləmələri","ভাষা সেটিংস",Spracheinstellungen,"Language Settings","Configuración de idioma","تنظیمات زبان",Kieliasetukset,"Paramètres du langue","भाषा सेटिंग्स","Pengaturan Bahasa","Impostazione della lingua","Tetapan Bahasa",Taalinstellingen,,,"Opções de Língua","Настройки Языка","baashaa sakasum",,การตั้งค่าภาษา,"Dil Ayarları","زبان کی سیٹنگ","Thiết lập Ngôn ngữ",
Lets_Begin,فلنبدأ!,Getdik,"শুরু করুন!","Lass uns loslegen!","Let's Begin!","Vamos a comenzar!","بیایید شروع کنیم",Aloitetaan!,Commençons!,"आओ शुरू करते हैं!","Mari Kita Mulai!",Cominciamo!,"Mari Mulakan !","Laten we beginnen!",,,"Vamos Começar!","Давайте начнем!",,,มาเริ่มกันเลย!,"Haydi Başlayalım!","چلیں شروعات کرتے ہیں!","Hãy Bắt đầu!",
Load_Content,"نزّل المحتويات","Məzmunu yüklə","বিষয়গুলি লোড করুন","Inhalt laden","Load Content","El contenido de cargacargar el contenido","بارگذاری محتویات","Lataa sisältö","obtenir le contenu","कंटेंट लोड करें","Muat Konten","Carica contenuto","Memuatnaik Kandungan","Content laden",,,"A carregar conteúdo","Загрузить Контент",,,โหลดเนื้อหา,"İçeriği Yükle","مواد دکھائیں","Nạp Nội dung",
Load_It_Now,"نزّل الأن","Elə indi yüklə","এখনই লোড করুন","Laden Sie es jetzt","Load It Now","Cargado ya!","هم‌اکنون بارگذاری کن","Lataa nyt","charger maintenant","इसे अभी लोड करें","Memuat Sekarang","Caricalo ora","Muatnaik Ia Sekarang","Nu aan het laden",,,"Carregar agora","Загрузить сейчас",,,โหลดตอนนี้เลย,"Hemen Şimdi Yükle","ابھی لوڈ کریں","Tải Ngay",
Login_With_MSISDN,"تسجيل دخول",Login,প্রবেশ,Anmelden,Login,"Iniciar sesión",ورود,-,connexion,"लॉग इन",Login,Entra,Masuk,Inloggen,,,Entrar,Логин,,,ล็อกอิน,"Giriş yap",لوگن,"Đăng nhập",
Logout,"تسجيل الخروج",Çıxış,প্রস্থান,Abmelden,"Log Out",Salir,خروج,"Kirjaudu ulos",Déconnexion,"लॉग आउट करें","Log Out",Logout,keluar,Afmelden,,,Sair,Выйти,,,ออกจากระบบ,"Çıkış Yap","لاگ آؤٹ","Đăng xuất",
